"Timestamp","User","EventID","EventType","Message","Risk"
"2026-04-07 14:44:36","administrator","4625","Failed Logon","Synthetic event for demonstration. Account Name: administrator","HIGH"
"2026-04-07 14:42:36","administrator","4625","Failed Logon","Synthetic event for demonstration. Account Name: administrator","HIGH"
"2026-04-07 14:40:36","administrator","4625","Failed Logon","Synthetic event for demonstration. Account Name: administrator","HIGH"
"2026-04-07 14:38:36","administrator","4625","Failed Logon","Synthetic event for demonstration. Account Name: administrator","HIGH"
"2026-04-07 14:36:36","administrator","4625","Failed Logon","Synthetic event for demonstration. Account Name: administrator","HIGH"
"2026-04-07 14:34:36","administrator","4625","Failed Logon","Synthetic event for demonstration. Account Name: administrator","HIGH"
"2026-04-07 12:54:36","jsmith","4648","Explicit Credential Logon","Synthetic event for demonstration. Account Name: jsmith","MEDIUM"
"2026-04-07 11:54:36","jdoe","4771","Kerberos Pre-Auth Failed","Synthetic event for demonstration. Account Name: jdoe","MEDIUM"
"2026-04-07 11:52:36","jdoe","4771","Kerberos Pre-Auth Failed","Synthetic event for demonstration. Account Name: jdoe","MEDIUM"
"2026-04-07 11:50:36","jdoe","4771","Kerberos Pre-Auth Failed","Synthetic event for demonstration. Account Name: jdoe","MEDIUM"
"2026-04-07 11:48:36","svcbackup","4740","Account Lockout","Synthetic event for demonstration. Account Name: svcbackup","HIGH"
"2026-04-07 09:54:36","N/A","4776","Credential Validation","Synthetic event for demonstration. Account Name: N/A","LOW"
